accurate
0	
1	x
2	x
3	x
4	x
5	x
6	x
7	
8	x
9	x
10	x
11	x
12	x
13	
14	
15	x
16	x
17	
18	
19	
20	
21	x
22	x
23	
24	
25	x
26	x
27	x
28	
29	x
30	x
31	
32	x
33	
34	
35	x
36	x
37	x
38	
39	
40	x
41	
42	
43	
44	x
45	x
46	
47	x
48	x
49	
50	x
51	x
52	
53	x
54	
55	x
56	x
57	x
58	x
59	x
60	
61	
62	x
63	x
64	x
65	x
66	x
67	x
68	
69	x
70	
71	
72	x
73	x
74	x
75	
76	x
77	x
78	x
79	x
80	
81	x
82	x
83	x
84	
85	x
86	x
87	x
88	x
89	x
90	x
91	x
92	
93	
94	
95	x
96	
97	x
98	x
99	x
100	x
101	
102	x
103	
104	
105	
106	x
107	x
108	x
109	x
110	x
111	x
112	x
113	
114	x
115	x
116	x
117	
118	x
119	
120	x
121	x
122	x
123	x
124	x
125	x
126	x
127	x
128	
129	x
130	
131	x
132	x
133	x
134	x
135	x
136	x
137	x
138	x
139	x
140	x
141	x
142	x
143	x
144	
145	x
146	x
147	
148	
149	x
150	x
151	x
152	x
153	x
154	x
155	x
156	x
157	
158	
159	
160	x
161	x
162	x
163	x
164	x
165	
166	x
167	x
168	x
169	x
170	x
171	
172	
173	
174	x
175	x
